输入,预期输出,实际输出,结果
12号才发货，那么以前每次厂家客服都没有发?在欺骗我,1,1.0,正确
12号收不到货，请取消，你哪来那么多废话,1,1.0,正确
12号显示东莞发货。今天没到。而且卖家现在都没办法提供单号，我很怀疑这个店家的诚信，希望你们介入调查一下，把核实的情况跟我说，我只有一个要求，就是处理卖家这种欺骗行为，要有力的解决，然后回复我，好吗,1,1.0,正确
12号购买 通知没货 我申请退款 说13号处理 结果13号说有货 帮我发货了 给个圆通的快递单号 结果是个假单号 14号我询问有没有发货 还是说发了 问单号为什么查不到 解释是假的单号 真的单号在仓库 等下告知我 我下午问.说在找.到了15号早上我问到底发没发 说发了 单号等下告知我 我等到下午问京东客服 后面商家打电话说已经发货 单号在找 到了16号早上还是说发货 一直拖到晚上5.40说 没发货 喊我申请退款 这么会欺骗消费者的商家 欺骗了我4天 电话告知我 没发货 申请退款 说这几天帮我处理 .在京东购买了几年 希望你们京东给我个解释 一句话就忽悠我4天 道歉 赔偿,1,1.0,正确
12号返的是1-10号的过期的卷，这不是欺骗顾客吗？,1,1.0,正确
12天了， mb的， 寄过来的， 没有适配器， 老子还要再等,1,1.0,正确
1-2天 你他妈不识数 还是怎么的 4月9号到的你们仓库 ?你说几天了,1,1.0,正确
1-2天 ? 叫谁看就是 ?最迟2天 ?早的话1天 ? 这会又他妈变了,1,1.0,正确
1-2天 放屁 吧,1,1.0,正确
12天还不够吗，尽快个屁,1,1.0,正确
12日晚上还再次跟你们客服确认了说是1到3个工作日到账，结果又是忽悠啊,1,1.0,正确
12月23日消息，京东商城董事局主席兼ceo刘强东在接受媒体采访时表示，创业12年来没卖过一件水货或假货。“如果消费者买到假货，比中彩票还难，京东将赔付10万。”,1,1.0,正确
12点22反馈有他妈什么用,1,1.0,正确
12点22还反馈你妈个比,1,1.0,正确
12点之前不给处理，我会投诉举报，等了那么久，结果还是来忽悠我，没意思的。,1,1.0,正确
12点之前你们高级客服不回电我他妈骂死你们！,1,1.0,正确
12点之前联系个屁呀,1,1.0,正确
12点申请 10能通过 草你妈 你们就是没脑子的人,1,1.0,正确
12点还没有动静，京东去吃屎,1,1.0,正确
12的时候。。就他妈俩字,1,1.0,正确
1300的键盘啊 普通垃圾键盘买100把,1,1.0,正确
130165744草 你们他妈的到底要审核多长时间？,1,1.0,正确
13030189955_p 2014-03-29 11:43:07 为什么就说3天就可以到jd_stxd 2014-03-29 11:40:44 您好 如果觉得时间比较久，请直接申请退款。13030189955_p 2014-03-29 11:43:28 ***的放屁13030189955_p 2014-03-29 11:43:49 付了钱你说这种屁话,1,1.0,正确
130元就等于买了块布，垃圾布，淘宝这样的货也就是20到30元钱,1,1.0,正确
1310187031  这单今天是不是到不了了  什么预计15日到达 扯淡呢？,1,1.0,正确
1312028669?老子这个单子四月份了，都没有开,1,1.0,正确
1313866962 ?原订单，货到付款的，但是我们发错货了，客户发回来换，后来我操作了换新 1347247419 ?，客户说要取消订单了。我应该如何操作,1,1.0,正确
"1314316689这个订单投诉投的我真的烦死,你们刚刚有个电话过来,说是让我把货退回去,我要求按照消法3倍赔偿,今天又解决不了,说是要反馈到什么处理假货的专员那里去.什么时候慈爱可以处理完了,烦死了.",1,1.0,正确
1314894758?这个订单的商家欺骗。。我收货地址写对的 后来他们说发错城市 现在不给我退款 我要个说法,1,1.0,正确
-13 15:40:00?没有欺骗呢亲627126134_m\2014-06-13 15:40:13?恶心客服\2014-06-13 15:40:16?只是您对颜色的区分可能不大一样 ?其实是对的呢亲,1,1.0,正确
1316126258u盘 ? ? 假货啊，不能用，球个8g，，，8kb都没有？,1,1.0,正确
1316157601  1315979182  1314803830    再他妈的瞎打电话   草你麻痹   我反馈的一点记录都没有吗？     回你妈比的电话   叫了别打收货人的打电话了   他妈的还打  神经病啊,1,1.0,正确
1319470357是都死光光了不处理了是是吧吧,1,1.0,正确
13:24:07我买的中兴901合约垃圾手机审核怎么处理单号1402201138,1,1.0,正确
13243734466\2014-05-07 13:27:52?废话，你那都写着立即发货13243734466\2014-05-07 13:28:09?还用的着我浪费时间去问啊13243734466\2014-05-07 13:28:22?不用发了，我直接取消订单,1,1.0,正确
13286245678，我操你的小骚p，天天都是这样无休止地无意义的折磨人！,1,1.0,正确
13:29:35599877312213:29:30狗屁京东,1,1.0,正确
13298368515，我要知道货在哪里？运达物流，我日***。这样的垃圾企业，干个球的物流。,1,1.0,正确
13:30:37服务单号：130930515，妈的这单子怎么样,1,1.0,正确
13317650248 这是我妈的号码，她不会说普通话。。打我的电话吧：13631526257,1,1.0,正确
1332978210?这个订单商家反复地欺骗我好几次了 ?你能看到我的投诉和留言吗？,1,1.0,正确
1337558605?这个家具的，前面打电话过来说还需要我操作退款什么的，但好像没什么窗口可以进去操作拉，帮问问看,1,1.0,正确
13:40:21我在京东买了那么些商品别的送货都找得到我家，他要我下楼接他，就是不送货上门。说白了。恶心，还根他开脱，有你这样的客服，不为客户着想，总是歪曲事实，不做实事。京东真的越来越差。,1,1.0,正确
13:41:12服务单号：118818014东芝（toshiba） suzaku系列 u盘 32gb （黑色） usb3.0 能退么，我现在看见日货恶心,1,1.0,正确
13424567523，已经半个月了。东西还没收到、又不补发、售后又不管。你们是什么垃圾公司呀,1,1.0,正确
13434915905我妈妈的手机号码,1,1.0,正确
13:46:50 我在京东买了那么些商品别的送货都找得到我家，他要我下楼接他，就是不送货上门。说白了。恶心，还根他开脱，有你这样的客服，不为客户着想，总是歪曲事实，不做实事。京东真的越来越差。,1,1.0,正确
13468856612，你们联系他，商量一下送货时间 ，不要再瞎扯淡了,1,1.0,正确
1347593208? ?假货,1,1.0,正确
134770969这个商家欺骗消费者,1,1.0,正确
1349278523 ? 你查查这个订单， 里边金士顿的内存 ? 返券的事情，我不想说了，我已经说的很清楚，您查查我反映的5次以上的记录， 我感觉是在诚心恶心我,1,1.0,正确
1350618198的商品滴露不是有199-40吗？怎么提交没有，忽悠啊,1,1.0,正确
"1350917144 ,1346936337 ,1346869009 ,1298223811 ,1258322363 ,1211280632 ,麦倩茵16:32:44说什么嗮单有好评，妈的，我全部都晒了，也分享微薄！我要投诉！",1,1.0,正确
13511115453 ?这是我姨妈的 ?是我跟我姨妈买的手机,1,1.0,正确
13512087878  这个 我操作了   取消  还可以继续发货吗,1,1.0,正确
13527238772 这个绝对不是空号。??? 你们那边不要总是胡说八道，也不要总说给我回电，但就是不见。,1,1.0,正确
13533467342 上次已经留过电话了 都说给我回电话 都是忽悠,1,1.0,正确
13533467342  不要再说废话 直接给我处理方案,1,1.0,正确
"1354251294?订单号,.你看查下状态吧.我都要气死了",1,1.0,正确
1354475308假货,1,1.0,正确
"1355887874这订单说给我短信回复，怎么没影了？售后服务怎么这么垃圾
1356917414你们这个赠品在不发货时都有货,在需要发货时都需要预订,恶心人是吧
13612667669_p15:11:55然后我收到这一件货订单编号: 1231910746不是真正品牌阿迪达斯呢 是a货怎么办？你们公司也做假货了？淘宝的阿迪达斯是假的多 想不到你们京东也做假的啦
1362965847?下单的时候说河南有货，为什么现在还不发，却说缺货，需要从外地调拨？催单！催单！催单！投诉！投诉！投诉！欺骗消费者啊！！！",1,1.0,正确
1362965847?下单的时候说河南有货，为什么现在还不发，却说缺货，需要从外地调拨？催单！催单！催单！投诉！投诉！投诉！欺骗消费者啊！！！,1,1.0,正确
1363944504单号买回去给小孩 家里只有老人和小孩 垃圾发货：但是发货不看地址的 只发到县城 .垃圾产品：遥控根本不能用.主机插电才会响 电一拉没用了 怎么电池？ 拿货要请人帮忙拿 要退货你给老人家怎么退.你们卖的是怎么呢京东？ 垃圾也拿来卖？,1,1.0,正确
1365480289 ? ? ?这个订单申请了退款 ?为什么我操作不了？,1,1.0,正确
13661955183 ?是这个手机号吗 我后来叫客服帮我联系这个手机号 我妈的手机,1,1.0,正确
1367396088这个垃圾商家是下单时候还咨询过，下单几天后说他们的质量有问题，不发货了退款,1,1.0,正确
13677385887 ?麻烦您备注下 今天不给我个满意的处理结果 我不会三番四次来找你们处理了 我直接上消协和找媒体朋友投诉 投诉你们京东欺骗我们消费者 没货还当有货卖给我们 还建议我取消订单 谁来赔偿我的损失？,1,1.0,正确
1369275591订单上网没查到是真 产品，是不是假货,1,1.0,正确
13699809315? 我妈的号码,1,1.0,正确
13702788053，我妈妈的,1,1.0,正确
1370570128今天早上这个畜生打电话来说没货，发不了,1,1.0,正确
13720431403.尽快回复，我不想在跟你们废话了！我明天要解决办法！不要什么核实,1,1.0,正确
13751203335_p16:40:191439512444 你妹的，我这个订单，从26号到现在，四天了，一直都是待退,1,1.0,正确
13751203335_p17:31:24你妹的，我这样还怎么生活，怎么工作？,1,1.0,正确
13751898756  这个物流的，他妈的还挂我手机！,1,1.0,正确
1375603207 这个撤销了 我操作的 对吧,1,1.0,正确
1376379587? ?这个 ?我昨天收到了货，是送给我妈妈的,1,1.0,正确
1376420212 ?这什么乌龟速度河北到厦门三天不到？,1,0.0,错误
137那个我老妈的，她肯定不知道了,1,1.0,正确
13801012167.同样的商品，我已经又订了，不知道你们明天送来的会不会是同样的东西，甚至根本就是今天的东西！反正你们京东一直在干这种龌龊事！退货返修的东西重新拿出来忽悠消费者！,1,1.0,正确
138090687-1079131311:33:23处理我们处理不了的问题‘你这不废话,1,1.0,正确
1381745333817:29:35操你奶奶的,1,1.0,正确
138-1758-7312，我妈妈的手机号，手机给你们修了，自己没手机用,1,1.0,正确
13828465748_p11:04:39你妈的b13828465748_p11:04:53把王条款对吗13828465748_p11:05:08卖的货不好还不让退,1,1.0,正确
13828465748_p17:32:30是谁申的13828465748_p17:32:40让我日他的妈啊,1,1.0,正确
1384522875 订单，洗衣机面板有很多划痕，还有撞过的凹痕，很明显是用过的，为什么要欺骗客户，把二手的洗衣机出售，太没诚信了。,1,1.0,正确
1384584525   还有这个狗屁订单 给我取消了,1,1.0,正确
1384765199?这个我操他妈，5天没发货,1,1.0,正确
"13870319603我的手机号,我现在要离开电脑了,你自己给我回信,再忽悠我我投诉消协了,你们太不负责了",1,1.0,正确
13870321558，我妈妈的，但是我妈妈现在不在,1,1.0,正确
1391273154这一款妈妈的多少钱,1,1.0,正确
13920408867，我看你们什么时候给我解决。最主要那个狗屁报牛皮，我有的是时间，第三方买哦家不是很嘴硬吗a.w看你们京东怎么给我解决,1,1.0,正确
1392179582自己看 ?傻逼,1,1.0,正确
13924015323， 他妈的，查清楚，给我电话回复，,1,1.0,正确
1392421217 气死我了  我上午充值的话费 银行卡扣钱了 没有充值成功,1,1.0,正确
1392633215请大家注意京东的无耻：本人在评价里给长虹抽油烟机1星差评，京东手机版系统竟然自动转换为5星好评，如此赤裸裸包庇无良商家、如此公然利用it技术作弊欺诈，真是令人发指！本人奇葩的电商购物经历：在京东买了一个长虹抽油烟机和燃气灶套装，收到的竟然只有一个抽油烟机！客服说因为本人选的是套餐中的单机，所以这个价钱只给单机，但是天地良心啊，本人用手机版京东app订购时，当时根本就没有单机、套餐的选项啊（现在他们改过来了），而且***你一个单机的宣传干嘛到处都用套餐的商品介绍、规格参数、包装清单啊，你这不是明摆着坑爹吗！后来了解的事实是京东根本就没有对第三方商家的制约力，请大家明辨是非，千万不要再在京东买东西了，像长虹一样的***原来的垃圾商家，都跑到京东了，京东已经不是当年自营店的京东了，为了上市，京东已经钻钱眼了，只要能冲销售额，只要给管理费，任何垃圾商家都可以上京东。大家还是去天猫吧，还是阿里巴巴对商家管的严有手段制约啊！刘强东就一个跳梁小丑，奶茶妹就一奶茶表，怎么和开创商誉先河的马云比啊！本人至今没有收货，京东让找长虹，长虹竟然不给退钱！订单号 1392633215 ，本人愿对以上言论承担所有法律责任。京东说的＂闪电退款＂都是扯蛋。,1,1.0,正确
1392875838此订单一直没开发票出来，财务人员还老忽悠我，一会一个样,1,1.0,正确
1392875838这订单一直不给我票，一直忽悠我，现在不要票了，也不要货了,1,1.0,正确
13929135853_p22:37:14居然还说截图看见了才算 ? ? 难道我买个东西还有这心机去截图吗 ? ?我是相信你们的 ? 可你们就是这样欺骗消费者的吗,1,1.0,正确
1393031125?(子订单)和这个没有关系 ?操你妈,1,1.0,正确
1393275924取消订单。他们没货。六天了。也不告诉我。气死我了,1,1.0,正确
1394222698??我敢说100%是假货,1,1.0,正确
 1394967894_m 09:20:13 你跟你们那个傻逼客服比起来你就是no.1,1,1.0,正确
13950511216不用每次都问吧。订单里都有联系方式。给了你们。你们也没及时打电话。发个信息有个毛用,1,1.0,正确
1396393378??? 这订单怎么慢的像乌龟一样,1,0.0,错误
1396941857我5号下的定单现在还没发气死了,1,1.0,正确
1399秒杀 实际1699，搞什么？欺骗消费者？,1,1.0,正确
139的是我妈妈的   我没和她住在一起,1,1.0,正确
1-3个工作日，你忽悠我吧,1,1.0,正确
1-3个工作日内我们的工作人员就会上门取件呢~，这是你他妈的负责的答复吗,1,1.0,正确
1-3个工作日 ?我找你有毛用？,1,1.0,正确
13公里 妈的给我转发了一个星期还没到,1,1.0,正确
13号到19号，我13号就拒收，这么多天加我申请5次，你们干嘛去了，不去核实快递，难道等着我天天申请吗？神经病,1,1.0,正确
13号到23号还在分拨中心！你们怎么办事的！你们的效率是乌龟王八吗？,1,1.0,正确
13号就下单了，麻痹的,1,1.0,正确
"13号就拣货完成,现在还在生产?忽悠人吗",1,1.0,正确
13号申请的。尼玛现在28号了,1,1.0,正确
13号的客服说让我等24小时，说24小时如果物流还是找不到，就给我退款，我结果我他妈的等了72个小时，也没有给我答复！！！,1,1.0,正确
1-3天上门取件 挺好啊 1天就取走了 ?愣是傻bb的等到3天才发,1,1.0,正确
13天你和你们爷爷都在吃屎啊,1,1.0,正确
1-3天取货，曰你妈都几天了,1,1.0,正确
13天就坏 谁他妈用啊,1,1.0,正确
1-3天承诺是不是算放屁啊,1,1.0,正确
1-3天看来也是忽悠人的,1,1.0,正确
13年的订单 发货发了 一个季度了 操他妈的,1,1.0,正确
13瓶，包装几乎破损，都漏了。弄邮政人家一地板都是。恶心死了。我这是签收还是不签收？,1,1.0,正确
1403501440   这到底他妈的怎么回事,1,1.0,正确
14-04-25 03:55:44我的留言： 京东到底还管不管的？？到底是谁来处理这件事情呢？？非要让人骂人骂人吗？？真是垃圾！！！提交时间： 2014-04-26 12:09:12我的留言： 又过了两天啦！！到底有没人理我的？？京东是不是没人啦？？提交时间： 2014-04-28 01:49:45,1,1.0,正确
14-06-08 20:18:22我的留言：上午11点客服1761打电话说三天内安装，且等着吧提交时间：2014-06-09 11:33:15我的留言：又等了三天了，难道说你们京东客服说话真的连放屁都不如吗？提交时间：2014-06-12 14:57:52我的留言：客服1761，等待您老人家的回复提交时间：2014-06-12 20:10:01,1,1.0,正确
14:09:04胡说八道，北京京东快递不到,1,1.0,正确
140公里路。我真的草刘强东他妈。,1,1.0,正确
1414734808   忽悠的京东   这个要几多年才会到达目的地呢.............................................,1,1.0,正确
1414783073 这个订单 还没有给我送货? 妈的? 不是说了可以送货上门的吗？,1,1.0,正确
1414967200? 还有这个订单里面的垃圾桶有质量问题 ? ?也要退给你们,1,1.0,正确
1414967200  这个订单里面的；垃圾桶,1,1.0,正确
"1415640665 ,这个订单货物发错了，我说了我是2010年出产的宝马740li领先型的，他们发的什么货，真想骂人了，太不负责任了，我强烈要求换货。",1,1.0,正确
1417605424 这个订单全他妈是坏的,1,1.0,正确
14~17已经三天了，就算是乌龟爬，也该到我这里了、,1,1.0,正确
1418088710。你们的承诺都是忽悠人吗？,1,1.0,正确
1419893784?货我收到了 完全是假货,1,1.0,正确
1419893784?这个订单商家承认了是发的假货吗 现在你们京东让我把货发回去 如果发回去商家又不认了怎么办,1,1.0,正确
1419914619  这个 耳环已经收到货了 不过是假货 珍珠是假的 上面的银子也是铁的 商家给我发的假货,1,1.0,正确
1419914619  这个订单商家发假货的赔偿申请下来了吗,1,1.0,正确
14:20:59 1569223336找你们这么多次了你妈的，次次都忽悠我,1,1.0,正确
1421240762 1421240762 1421240762 1421240762 1421240762 1421240762 1421240762 1421240762 我日你妈妈1421240762 1421240762 1421240762 1421240762 1421240762 1421240762 1421240762 1421240762 1421240762 1421240762 1421240762,1,1.0,正确
1422132587的订单怎么是像假货呢,1,1.0,正确
1423152820 商品五件，只到一件，周四联系商家，周 六商家才补发，这个是周六日用来孩子 上课使用，所以说东西没有怎么使用，到目前货还没有到，只是补发有毛用啊！因为商家原因造成的，为啥不能尽快的补发空运呢？还要走慢递,1,1.0,正确
1424382996? 这个搞活动买的 我发了晒图和订单号 没收到礼品 也是前100位? 有被欺骗的感觉,1,1.0,正确
1424382996???? 这个订单之前因为搞活动买u盘送卡 所以我买了? 也前100为评论了结果没发卡有欺骗嫌疑吧。。。,1,1.0,正确
1425235881订单号?? 我这刚买两天就降价200?? 你们也太坑了吧?? 能退货不,1,1.0,正确
1428263975 这个订单我买了10天后就降了500这也太坑人了吧,1,1.0,正确
